MODELO,PROPOSITO,ANCHO VIA,VELOCIDAD MAXIMA,MOTORES,POTENCIA TOTAL,TENSION,MASA SIN CARGA,LONGITUD TOTAL,PLAZAS SENTADAS,SEÑALIZACION,CONSTRUCTOR,UNIDADES CONSTRUIDAS,FOTOS,VIDEO,PRESTACIONES,FICHA TECNICA
Cercanías 451,Pasajeros - Cercanías,"1,668 m",140 Km/h,4 asíncronos,1480 KW,3 KV,"177,6 T","80,58 m",498,ASFA,CAF - Alstom,12,http://www.renfe.com/viajeros/nuestros_trenes/cercanias450.html,,http://www.renfe.com/viajeros/nuestros_trenes/cercanias450_prestaciones.html,http://www.renfe.com/viajeros/nuestros_trenes/cercanias450_ficha.html
Feve - Serie UTDE-2400,Pasajeros - Cercanías - Media distancia,"1,000 m",80 Km/h,2 Volvo A.H10A-360,537 KW,,"67,75 T","34,3 m",64,ASFA,MTM,8,http://www.renfe.com/viajeros/nuestros_trenes/feve_2400.html,,,
Feve - Serie UTDH-2600,Pasajeros - Cercanías,"1,000 m",80 Km/h,1 Volvo THD 101 GB,166 KW,,"53,46 T","35,29 m",99,ASFA,Sunsundegui - CAF,12,http://www.renfe.com/viajeros/nuestros_trenes/feve_2600.html,,,
Feve - Serie UTDH-2700,Pasajeros - Cercanías - Media distancia,"1,000 m",100 Km/h,1 MTU 0M 460 HLA-6H1800.R84,390 KW,,"66,85 T",35 m,80,ASFA,Sunsundegui - CAF,17,http://www.renfe.com/viajeros/nuestros_trenes/feve_2700.html,,,
Feve - Serie UTDH-2900,Pasajeros - Cercanías,"1,000 m",100 Km/h,1 MTU 0M 460 HLA-6H1800.R84,390 KW,,"33,78 T",17 m,30,ASFA,Sunsundegui - CAF,12,http://www.renfe.com/viajeros/nuestros_trenes/feve_2900.html,,,
Feve - Serie UTE 3300,Pasajeros - Cercanías,"1,000 m",100 Km/h,4 asíncronos,660 KW,"1,5 KV","56,6 T","45,72 m",72,ASFA,Sunsundegui - CAF,12,http://www.renfe.com/viajeros/nuestros_trenes/feve_3300.html,,,
Feve - Serie UTE 3500,Pasajeros - Cercanías,"1,000 m",80 Km/h,4 TA 6788-H,660 KW,"1,5 KV","56,6 T","45,72 m",72,ASFA,Sunsundegui - CAF,9,http://www.renfe.com/viajeros/nuestros_trenes/feve_3500.html,,,
Feve - Serie UTE 3600,Pasajeros - Cercanías,"1,000 m",100 Km/h,2 Siemens TB 2223-0GB03,420 KW,"1,5 KV","56,5 T","35,3 m",99,ASFA,Sunsundegui - Siemens,21,http://www.renfe.com/viajeros/nuestros_trenes/feve_3600.html,,,
Feve - Serie UTE 3800,Pasajeros - Cercanías,"1,000 m",100 Km/h,4 TA 6788-R 1,588 KW,"1,5 KV",54 T,32 m,134,ASFA,CAF,16,http://www.renfe.com/viajeros/nuestros_trenes/feve_3800.html,,,
Trenhotel,Pasajeros - Larga distancia,"1,435 m - 1,668 m",220 Km/h,,,"3 KV - 1,5 KV",359 T,"260,92 m",Variable,ASFA,Talgo - Renfe,10,http://www.renfe.com/viajeros/nuestros_trenes/trenhotel.html,http://www.renfe.com/viajeros/nuestros_trenes/trenhotel_video.html,http://www.renfe.com/viajeros/nuestros_trenes/trenhotel_prestaciones.html,http://www.renfe.com/viajeros/nuestros_trenes/trenhotel_ficha.html
