CODIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECION,CP,POBLACION,PROVINCIA,PAIS,CERCANIAS,FEVE,COMUN
5119,APALLA,43.550457,-8.0186188,"C/ Estación Ferrocarril, S/N",15563,SAN SADURNIÑO,"CORUÑA, A",ESPAÑA,SI,SI,
5121,MOECHE,43.562132,-8.0027572,"Ctra. Cp-4901 - Estación Ferrocarril, S/N",15563,MOECHE,"CORUÑA, A",ESPAÑA,SI,SI,
5123,LABACENGOS,43.5652707,-7.9801882,"Ctra. Dp - 4902 --- Estación Ferrocarril, S/N",15564,MOECHE,"CORUÑA, A",ESPAÑA,SI,SI,
5125,ENTRAMBARRÍAS,43.5770633,-7.9542644,"C/ Estación Ferrocarril, S/N",15564,MOECHE,"CORUÑA, A",ESPAÑA,SI,SI,
5127,CERDIDO,43.5873426,-7.9343099,Lugar de Sanxio-Cerdido (Moeche),15563,CERDIDO,"CORUÑA, A",ESPAÑA,SI,SI,
5129,A CUQUEIRA,43.6078292,-7.9219389,"C/ Estación Ferrocarril, S/N",15569,CERDIDO,"CORUÑA, A",ESPAÑA,SI,SI,
5131,SANTA MARÍA DE MERA,43.6409288,-7.9161904,"Ctra. Ac-862 - Estación Ferrocarril, S/N",15349,ORTIGUEIRA,"CORUÑA, A",ESPAÑA,SI,SI,
5133,PONTE MERA,43.666038,-7.9026205,"Ctra. Ac-862 - Estación Ferrocarril, S/N",15340,ORTIGUEIRA,"CORUÑA, A",ESPAÑA,SI,SI,
5135,SAN CLODIO,43.6609443,-7.873478,"Ctra. Ac-862 - Estación Ferrocarril, S/N",15368,RIBAS DE SIL,"CORUÑA, A",ESPAÑA,SI,SI,
5137,SENRA,43.668793,-7.8545534,"Ctra. Ac-862 - Estación Ferrocarril, S/N",15368,ORTIGUEIRA,"CORUÑA, A",ESPAÑA,SI,SI,
5139,ORTIGUEIRA,43.6862217,-7.8495738,C/ Juan Luis Pia Martinez- Ortigueira,15330,ORTIGUEIRA,"CORUÑA, A",ESPAÑA,SI,SI,
5141,ESPASANTE,43.70888,-7.804897,"Ctra. Ac - 862 --- Estación Ferrocarril, S/N",15339,ORTIGUEIRA,"CORUÑA, A",ESPAÑA,NO,SI,
5143,LOIBA,43.730393,-7.750044,"Ctra. Cp - 6104 --- Estación Ferrocarril, S/N",15339,ORTIGUEIRA,"CORUÑA, A",ESPAÑA,NO,SI,
5145,O BARQUEIRO,43.735649,-7.70288,"Ctra. Estación Ferrocarril, 6",15337,MAÑÓN,"CORUÑA, A",ESPAÑA,NO,SI,
5147,O VICEDO,43.731026,-7.673215,"Rúa Deputacion - Camiño Sacido, S/N",27860,VICEDO (O),LUGO,ESPAÑA,NO,SI,
5149,MOSENDE,43.706194,-7.635477,"Ctra. A Fraderia, S/N",27861,VICEDO (O),LUGO,ESPAÑA,NO,SI,
5151,FOLGUEIRO,43.692766,-7.635048,"Ctra. Lu - 862 --- Estación Ferrocarril, S/N",27860,VICEDO (O),LUGO,ESPAÑA,NO,SI,
5153,COVAS DE VIVEIRO,43.670275,-7.614613,"Camino Escolar Estación Ferrocarril, S/N",27861,VIVEIRO,LUGO,ESPAÑA,NO,SI,
5155,VIVEIRO,43.6569,-7.60033,Barrio Verxeles S/N -Viveiro,27869,VIVEIRO,LUGO,ESPAÑA,NO,SI,
5156,VIVEIRO APEADERO,43.661435,-7.594532,"Camiño Altamira, 2",27869,VIVEIRO,LUGO,ESPAÑA,NO,SI,
5157,XUANCES,43.687991,-7.553904,"Camiño O Cruzeiro - Estación Ferrocarril, S/N",27877,XOVE,LUGO,ESPAÑA,NO,SI,
5159,XOVE POBO,43.683567,-7.510921,"Camino Apeadero, S/N",27878,XOVE,LUGO,ESPAÑA,NO,SI,
5161,XOVE,43.681138,-7.495251,Ctra. Lu-862 Km.96/600 - Xove,27878,XOVE,LUGO,ESPAÑA,NO,SI,
5163,LAGO,43.687108,-7.481942,"Ctra. Lu - 2602 --- Estación Ferrocarril, S/N",27878,XOVE,LUGO,ESPAÑA,NO,SI,
